id,value,unit
Vmax,0.001066688,CustomUnit("katgwedgeone")
kcat_Km_SPC_56_Cell,0.75,CustomUnit("Mwedgeoneswedgeone")
Ki_SPC_5111_Cell,0.0000004,CustomUnit("M")
Km_SPC_1292_cytoplasm,0.00094,CustomUnit("M")
kcat_Km_SPC_56_cytosol,466.6667,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_cytosol,0.04,CustomUnit("M")
kcat,18.41667,CustomUnit("swedgeone")
Ki_SPC_5111_Cell,0.0000037,CustomUnit("M")
Km_SPC_37_cytoplasm,0.000064,CustomUnit("M")
Km_SPC_1292_mitochondrion,0.00233,CustomUnit("M")
kcat,1143.333,CustomUnit("swedgeone")
kcatdivKm_SPC_1292_mitochondrion,490000,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_38_mitochondrion,0.000025,CustomUnit("M")
kcat,1000,CustomUnit("swedgeone")
kcatdivKm_SPC_38_mitochondrion,40000000,CustomUnit("Mwedgeoneswedgeone")
Activity,0.0000233338,CustomUnit("katgwedgeone")
Ki_SPC_5111_Cell,0.0000141,CustomUnit("M")
kcat,3.333333,CustomUnit("swedgeone")
kcatKm_SPC_56_Cell,1666.667,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_Cell,0.002,CustomUnit("M")
Act,0.0000005,CustomUnit("molswedgeonegwedgeone")
Ki_SPC_9941_Cell,0.00000078,CustomUnit("M")
Kii_SPC_56_Cell,0.066,CustomUnit("M")
Ki_SPC_9941_Cell,0.0000001,CustomUnit("M")
IC50_1_SPC_9941_Cell,0.0000002,CustomUnit("M")
kcat,16.66667,CustomUnit("swedgeone")
Km_SPC_1292_Cell,0.0001,CustomUnit("M")
Km_B_SPC_37_Cell,0.00002,CustomUnit("M")
Km_A_SPC_56_Cell,0.0018,CustomUnit("M")
Km_SPC_1292_Cell,0.00017,CustomUnit("M")
kcat,2.833333,CustomUnit("swedgeone")
kcat_Km_SPC_1292_Cell,16666.67,CustomUnit("Mwedgeoneswedgeone")
Vmax,0.001633366,CustomUnit("katgwedgeone")
KmA_SPC_38_Cell,0.000105,CustomUnit("M")
KmS_SPC_1292_Cell,0.00024,CustomUnit("M")
Kis_SPC_1292_Cell,0.0032,CustomUnit("M")
Kii_SPC_1292_Cell,0.0000000063,CustomUnit("M")
kcatdivKm_SPC_56_mitochondrion,220000,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_mitochondrion,0.00074,CustomUnit("M")
kcat,163.3333,CustomUnit("swedgeone")
Km_SPC_56_Cell,0.004,CustomUnit("M")
kcat,0.08333333,CustomUnit("swedgeone")
Ki_SPC_9941_Cell,0.000011,CustomUnit("M")
Km_SPC_1292_Cell,0.000462,CustomUnit("M")
kcat,176,CustomUnit("swedgeone")
Km_SPC_37_Cell,0.0000074,CustomUnit("M")
Vmax,0.000001416695,CustomUnit("katgwedgeone")
KiA_SPC_37_Cell,0.00009,CustomUnit("M")
Km_SPC_37_Cell,0.00007,CustomUnit("M")
Act,0.00008333333,CustomUnit("molswedgeonegwedgeone")
Km_SPC_37_cytosol,0.0000363,CustomUnit("M")
Kis_SPC_21363_cytosol,0.000128,CustomUnit("M")
kcat,4.9,CustomUnit("swedgeone")
